D
9
B, H, H, J
B, I, F, A
G, A, E, B
C, J, I, E
B, F, H, G
F, G, I, I
H, H, H, I
A, F, B, I
H, B, J, G
H, B, F, G
D, A, E, D
D, H, I, E
J, D, H, B
J, J, A, F
I, I, D, F
B, A, F, G
G, I, B, C
D, G, D, G
C, I, H, E
H, D, G, A
D, D, H, D
B, J, D, D
B, C, I, G
G, H, A, D
C, D, F, I
F, B, F, H
H, A, A, F
A, C, I, D
B, C, E, H
H, H, B, E
G, C, B, J
G, A, D, G
J, B, C, F
F, A, H, J
I, I, E, D
E, H, C, C
G, J, A, G
B, G, A, B
E, E, F, D
B, A, C, I
H, B, I, E
C, D, C, I
D, I, G, A
F, A, E, C
H, F, B, J
A, D, A, J
A, D, A, E
H, A, F, C
J, A, I, G
F, G, A, G
J, C, B, H
G, A, J, C
H, C, I, B
D, I, I, G
J, H, H, C
F, B, D, F
H, D, A, G
G, C, A, A
C, J, B, A
A, J, E, E
A, B, B, H
G, A, J, H
D, B, E, F
J, F, J, E
A, C, A, A
E, D, F, D
B, A, E, J
A, G, I, C
E, F, E, H
E, D, G, I
C, A, C, B
H, B, F, C
J, C, J, B
B, F, B, D
D, G, J, H
I, I, I, D
E, E, F, E
G, H, G, H
E, I, J, G
D, E, H, H
E, J, B, G
D, I, G, G
H, C, G, B
F, C, J, I
H, A, J, I
J, B, C, I
F, B, D, A
A, B, F, G
J, G, G, F
A, E, H, H
I, F, D, A
I, B, F, I
E, C, D, C
D, C, D, I
H, G, I, D
B, E, G, A
B, C, H, C
E, D, A, G
H, C, E, B
D, I, G, F
C, F, E, G
J, E, A, E
J, H, E, H
D, E, F, A
J, E, F, J
B, B, B, F
J, D, F, C
C, F, H, C
D, H, J, H
A, F, G, E
E, D, E, C
D, E, A, A
F, E, D, A
J, H, F, B
I, I, E, J
E, B, H, G
A, B, H, B
J, I, A, E
B, A, D, G
G, F, A, C
D, E, J, F
G, B, E, D
G, H, I, D
F, G, J, A
E, A, G, A
B, E, J, G
D, F, B, C
J, E, B, E
B, A, F, I
E, A, G, J
C, G, D, G
C, B, F, H
D, H, I, C
J, F, D, A
H, E, C, I
H, H, J, C
G, J, E, G
E, J, D, C
E, J, A, J
D, A, E, F
B, D, B, I
H, E, C, D
B, A, F, A
C, C, B, I
B, H, C, F
G, C, D, F
J, A, E, I
A, H, C, E
A, C, I, G
G, G, F, I
C, D, B, B
D, J, D, A
H, G, B, A
I, F, B, I
I, C, F, F
B, I, G, H
E, J, D, B
B, A, C, E
E, I, D, F
I, A, A, C
A, G, J, A
E, A, B, G
B, C, A, E
D, C, I, H
D, A, D, I
B, G, I, B
H, C, H, H
E, A, H, C
F, F, I, A
E, C, C, F
E, H, D, B
D, B, F, A
F, H, J, I
J, F, F, D
A, A, J, D
B, C, I, B
G, J, F, F
B, I, E, D
G, F, A, G
G, D, I, B
C, J, D, D
H, C, D, D
F, A, H, B
B, H, I, H
J, E, G, C
E, I, H, A
C, I, F, H
E, I, I, H
D, E, C, B
B, I, C, I
A, B, B, B
E, H, G, I
E, E, H, I
D, E, F, C
F, J, H, I
C, F, G, I
J, C, B, F
C, E, A, J
D, E, A, A
J, H, F, F
I, D, F, D
B, A, C, C
C, I, E, I
J, I, J, G
G, H, C, I
E, D, G, D
B, D, E, F
A, G, F, D
I, B, B, A
C, I, E, G
C, D, B, F
B, J, I, E
B, D, G, B
G, G, J, G
H, E, H, D
G, B, E, D
J, B, D, E
A, C, B, H
A, H, E, D
H, D, B, I
H, E, G, G
F, F, F, F
J, B, D, E
